complexity,r,count_on_policy,count_off_policy,expression,traversal,nmse_test,nmse_test_noiseless,success
12,0.2658235681661997,0,1,[-x1 - x2 - x3 + x4**2 - x5 + x6],"sub,sub,x6,x1,add,add,x2,sub,x3,n2,x4,x5",2.7956060670023564,2.7956060670023564,False
13,0.7281270781757526,0,1,[x1 + x2**2 + x3 + x4**2 + x5 + x6],"add,add,add,add,add,x5,n2,x4,n2,x2,x6,x1,x3",2.586519977821549,2.586519977821549,False
14,0.8826664657168106,0,1,[x1**2 + x2**2 - x3 + x4**2 - x5 - x6],"sub,sub,n2,x1,sub,x6,n2,x2,add,x5,sub,x3,n2,x4",0.3632841846837377,0.3632841846837377,False
15,0.9502617762744336,0,1,[-x1 + x2**2 + x4**2 + x6**2 + (x3 - x5)**2],"add,sub,n2,x6,sub,sub,x1,n2,sub,x3,x5,n2,x2,n2,x4",0.4877376380837761,0.4877376380837761,False
16,0.9688289904595389,0,1,[x1**2 + x2**2 - x3 + x4**2 + x5**2 + x6**2],"add,add,sub,n2,x6,sub,sub,x3,n2,x5,n2,x2,n2,x1,n2,x4",0.012309563797559278,0.012309563797559278,False
17,0.9938958699091411,0,1,[x1 + x3**2 + x4**2 + x5**2 + x6**2 - cos(x2)],"add,sub,add,n2,x5,x1,cos,x2,add,n2,x4,add,n2,x3,n2,x6",0.018756607151339977,0.018756607151339977,False
19,0.999638326167338,0,1,[x3**2 + x4**2 + x5**2 + x6**2 - cos(x1) - cos(x2)],"add,sub,sub,n2,x5,cos,x1,cos,x2,add,n2,x4,add,n2,x3,n2,x6",0.00467632226983833,0.00467632226983833,False
23,0.9996586509528002,0,1,[x3**2 + x4**2 + x5**2 + x6**2 - cos(x1) - 2*cos(x2)],"add,sub,sub,sub,n2,x5,cos,x1,cos,x2,cos,x2,add,n2,x4,add,n2,x3,n2,x6",0.013584532199999054,0.013584532199999054,False
