complexity,r,count_on_policy,count_off_policy,expression,traversal,nmse_test,nmse_test_noiseless,success
4,0.0,0,1,[x1*x2**2],"mul,n2,x2,x1",10.364858279921943,10.364858279921943,False
5,0.4469599469827911,0,1,[x1*x2*x3],"mul,mul,x2,x3,x1",0.7476720901813712,0.7476720901813712,False
6,0.9155837683616012,0,1,[(-x1 - x2 + x3)**2],"n2,sub,x3,add,x1,x2",0.14691824218219046,0.14691824218219046,False
8,0.9620486363793274,0,1,[x1**2 + x2**2 + x3**2],"add,n2,x3,add,n2,x1,n2,x2",0.005511490438087776,0.005511490438087776,False
9,0.9666855407355367,0,1,[x1**2 + x2**4 + x3**2],"add,n2,x3,add,n2,x1,n2,n2,x2",0.007868178891620187,0.007868178891620187,False
10,0.9854778653909946,0,1,[x2**2 + (x1*x2**2 - x3)**2],"add,n2,x2,n2,sub,mul,x1,n2,x2,x3",0.0019028138094070166,0.0019028138094070166,False
12,0.989385293012386,0,1,[x3**2 + (x1*sin(x3)**2 - x2)**2],"add,n2,x3,n2,sub,mul,x1,n2,sin,x3,x2",0.0016577552388483156,0.0016577552388483156,False
