r_best,r_max,r_top,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time
9.321452975273132324e-01,9.321452975273132324e-01,5.276531577110290527e-01,1.031702682375907898e-01,8.806214928627014160e-01,1.652000045776367188e+01,1.941818237304687500e+01,4.403107464313507080e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,2.276689052581787109e+00,7.683477997779846191e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.403107464313507080e-01,1.195436401367187500e+02
9.607467651367187500e-01,9.607467651367187500e-01,5.924754738807678223e-01,1.077756509184837341e-01,9.201579689979553223e-01,1.845818138122558594e+01,1.820000076293945312e+01,6.802343726158142090e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,2.116340875625610352e+00,1.375579357147216797e+00,7.272727321833372116e-03,0.000000000000000000e+00,6.802343726158142090e-01,4.149908142089843750e+02
9.788849353790283203e-01,9.788849353790283203e-01,7.463295459747314453e-01,1.202341020107269287e-01,9.276341199874877930e-01,1.832727241516113281e+01,1.896363639831542969e+01,8.039342761039733887e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,2.085736989974975586e+00,1.024363040924072266e+00,1.818181830458343029e-03,0.000000000000000000e+00,8.039342761039733887e-01,7.427884521484375000e+02
9.885973334312438965e-01,9.885973334312438965e-01,7.262719273567199707e-01,1.173593923449516296e-01,9.249364137649536133e-01,1.912727355957031250e+01,1.914545440673828125e+01,8.644353151321411133e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.956229686737060547e+00,4.499999880790710449e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.644353151321411133e-01,8.905693969726562500e+02
9.885973334312438965e-01,9.717078804969787598e-01,6.702966094017028809e-01,1.002197489142417908e-01,9.120842218399047852e-01,1.689999961853027344e+01,1.930909156799316406e+01,8.882597684860229492e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,2.074241161346435547e+00,8.561460971832275391e-01,3.636363660916686058e-03,0.000000000000000000e+00,8.882597684860229492e-01,1.105463012695312500e+03
