r_best,r_max,r_top,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time
9.795516133308410645e-01,9.795516133308410645e-01,0.000000000000000000e+00,8.759678900241851807e-02,8.759678900241851807e-02,1.657272720336914062e+01,1.657272720336914062e+01,4.379839450120925903e-02,5.500000000000000000e+02,5.500000000000000000e+02,5.500000000000000000e+02,5.500000000000000000e+02,2.251385450363159180e+00,2.251385450363159180e+00,1.818181830458343029e-03,1.818181830458343029e-03,4.379839450120925903e-02,2.799554443359375000e+02
9.818829894065856934e-01,9.818829894065856934e-01,1.002600137144327164e-02,9.140069037675857544e-02,9.140069484710693359e-01,1.936545372009277344e+01,2.445454597473144531e+01,4.789026677608489990e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,2.264444351196289062e+00,9.801331162452697754e-01,5.454545374959707260e-03,0.000000000000000000e+00,4.789026677608489990e-01,6.078931884765625000e+02
9.818829894065856934e-01,9.184019565582275391e-01,2.966099679470062256e-01,8.532041311264038086e-02,8.365234732627868652e-01,2.083636283874511719e+01,2.461818122863769531e+01,6.577130556106567383e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,2.211012601852416992e+00,7.253119349479675293e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.577130556106567383e-01,1.065007690429687500e+03
9.925416707992553711e-01,9.925416707992553711e-01,4.529070258140563965e-01,9.510601311922073364e-02,9.382085204124450684e-01,2.426909065246582031e+01,2.463636398315429688e+01,7.979608178138732910e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,2.060916900634765625e+00,1.154547214508056641e+00,1.818181830458343029e-03,0.000000000000000000e+00,7.979608178138732910e-01,1.505725585937500000e+03
9.925416707992553711e-01,9.906181097030639648e-01,6.025466322898864746e-01,1.017066389322280884e-01,9.525220394134521484e-01,2.398181724548339844e+01,2.479999923706054688e+01,8.752413988113403320e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,2.110179662704467773e+00,8.148970007896423340e-01,1.818181830458343029e-03,0.000000000000000000e+00,8.752413988113403320e-01,1.835888916015625000e+03
9.925416707992553711e-01,9.572084546089172363e-01,2.423023283481597900e-01,8.651269227266311646e-02,8.615697026252746582e-01,2.356363677978515625e+01,2.479999923706054688e+01,8.684055805206298828e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,2.072563171386718750e+00,5.199999809265136719e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.684055805206298828e-01,2.281911376953125000e+03
9.925416707992553711e-01,9.692144989967346191e-01,6.918705701828002930e-01,1.050376892089843750e-01,9.517098069190979004e-01,2.407454490661621094e+01,2.463636398315429688e+01,9.100576639175415039e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.932411313056945801e+00,6.652017831802368164e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.100576639175415039e-01,2.595923095703125000e+03
9.925416707992553711e-01,9.769352674484252930e-01,6.651378870010375977e-01,1.021549552679061890e-01,9.467422366142272949e-01,2.331454467773437500e+01,2.461818122863769531e+01,9.283999800682067871e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.977700352668762207e+00,9.516963362693786621e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.283999800682067871e-01,2.936069091796875000e+03
9.947348833084106445e-01,9.947348833084106445e-01,6.431888341903686523e-01,1.019434630870819092e-01,9.592626094818115234e-01,2.288727188110351562e+01,2.470909118652343750e+01,9.438312649726867676e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.986106991767883301e+00,2.000000029802322388e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.438312649726867676e-01,3.220333251953125000e+03
9.952610135078430176e-01,9.952610135078430176e-01,8.046552538871765137e-01,1.156841367483139038e-01,9.775629043579101562e-01,2.318909072875976562e+01,2.449090957641601562e+01,9.606971144676208496e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,2.074862480163574219e+00,6.800000071525573730e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.606971144676208496e-01,3.603404785156250000e+03
9.952610135078430176e-01,9.922926425933837891e-01,0.000000000000000000e+00,9.005752205848693848e-02,9.005752205848693848e-02,1.844909095764160156e+01,1.844909095764160156e+01,5.253773331642150879e-01,5.500000000000000000e+02,5.500000000000000000e+02,5.500000000000000000e+02,5.500000000000000000e+02,2.200346946716308594e+00,2.200346946716308594e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.253773331642150879e-01,3.932565185546875000e+03
9.952610135078430176e-01,9.798351526260375977e-01,3.614590764045715332e-01,8.409599214792251587e-02,8.365533947944641113e-01,2.122909164428710938e+01,2.427272796630859375e+01,6.809653639793395996e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,2.085481405258178711e+00,3.600000143051147461e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.809653639793395996e-01,4.277374023437500000e+03
9.952610135078430176e-01,9.863340258598327637e-01,6.212282180786132812e-01,1.120444536209106445e-01,9.518426060676574707e-01,2.447999954223632812e+01,2.452727317810058594e+01,8.164039850234985352e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,2.045561075210571289e+00,1.110977411270141602e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.164039850234985352e-01,4.762765136718750000e+03
9.952610135078430176e-01,9.950562119483947754e-01,0.000000000000000000e+00,8.961453288793563843e-02,8.961453288793563843e-02,2.391636276245117188e+01,2.391636276245117188e+01,4.530092477798461914e-01,5.500000000000000000e+02,5.500000000000000000e+02,5.500000000000000000e+02,5.500000000000000000e+02,1.940647244453430176e+00,1.940647244453430176e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.530092477798461914e-01,5.161237792968750000e+03
9.952610135078430176e-01,9.880070686340332031e-01,6.493767499923706055e-01,9.523404389619827271e-02,9.523404240608215332e-01,2.287090873718261719e+01,2.216363716125488281e+01,7.026748657226562500e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.997370243072509766e+00,6.800000071525573730e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.026748657226562500e-01,5.464774414062500000e+03
9.952610135078430176e-01,9.880293607711791992e-01,5.139402151107788086e-01,9.527689963579177856e-02,9.336168169975280762e-01,2.354000091552734375e+01,2.436363601684570312e+01,8.181458115577697754e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,2.004678964614868164e+00,5.600000023841857910e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.181458115577697754e-01,5.774933105468750000e+03
9.952610135078430176e-01,9.916786551475524902e-01,8.528324365615844727e-01,1.137231886386871338e-01,9.750385880470275879e-01,2.282545471191406250e+01,2.463636398315429688e+01,8.965921998023986816e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.910318255424499512e+00,1.599999964237213135e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.965921998023986816e-01,6.579641601562500000e+03
