complexity,r,count_on_policy,count_off_policy,expression,traversal,nmse_test,nmse_test_noiseless,success
10,0.666673639314706,0,1,[(x1 - x2)**2],"n2,sub,x1,sub,x2,mul,x1,sub,x1,x1",2.8681531082356306,2.8681531082356306,False
11,0.8931489488657435,0,1,[x2**2 - cos(x1)],"sub,sub,x1,x1,sub,cos,x1,mul,x2,x2",0.05131070481741899,0.05131070481741899,False
12,0.9006518806495041,0,1,[x2**2 + x2*sin(x2) - cos(x1)],"sub,n2,x2,sub,cos,x1,mul,x2,sin,x2",0.058523098380125885,0.058523098380125885,False
13,0.91802344772292,0,1,[x2**2 + x2 - 2*cos(x1)],"sub,sub,x2,cos,x1,sub,cos,x1,mul,x2,x2",0.2194996071951285,0.2194996071951285,False
14,0.973104541593725,0,1,[x2**2 - 2*cos(x1)],"sub,sub,x1,cos,x1,add,sub,cos,x1,n2,x2,x1",0.0,0.0,True
