complexity,r,count_on_policy,count_off_policy,expression,traversal,nmse_test,nmse_test_noiseless,success
4,0.0,0,1,[0],"n2,sub,x2,x2",10.0,10.0,False
5,0.21693750576317752,0,1,[x1 - x2 + x3],"add,x1,sub,x3,x2",2.70478560528781,2.70478560528781,False
6,0.91554057252207,0,1,[x1**2*(-x2 + x3)**2],"n2,mul,sub,x3,x2,x1",0.0024555737133449785,0.0024555737133449785,False
7,0.9895119512701835,0,1,[x1**2 + (-x2 + x3)**2],"add,n2,x1,n2,sub,x3,x2",0.004144670713103298,0.004144670713103298,False
8,0.9994178299064248,0,1,[x1**2 + x2**2 + x3**2],"add,n2,x1,add,n2,x3,n2,x2",0.0,0.0,True
10,0.9997316261745359,0,1,[4*x1**2 + x2**2 + x3**2],"add,n2,add,x1,x1,add,n2,x3,n2,x2",0.0,0.0,True
12,0.9998566459715926,0,1,[4*x1**2 + x2**2 + 4*x3**2],"add,n2,add,x1,x1,add,n2,add,x3,x3,n2,x2",0.0,0.0,True
