complexity,r,count_on_policy,count_off_policy,expression,traversal,nmse_test,nmse_test_noiseless,success
10,0.666673639314706,0,1,[(-x1 + x2)**2],"sub,n2,sub,x2,x1,sub,n2,x1,n2,x1",2.2510208113152097,2.2510208113152097,False
11,0.889923185643359,0,1,[x2**2 - cos(x1)],"sub,mul,x2,x2,cos,sub,add,x2,x1,x2",0.30374719690519103,0.30374719690519103,False
12,0.9309881414331457,0,1,[x2**2 - x2 - 2*cos(x1)],"sub,sub,sub,n2,x2,cos,x1,cos,x1,x2",0.19399475012886697,0.19399475012886697,False
14,0.9674307688225203,0,1,[x2**2 - 2*cos(x1)],"sub,sub,n2,sub,x1,sub,x1,x2,cos,x1,cos,x1",0.0,0.0,True
