r_best,r_max,r_top,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time
9.807402491569519043e-01,9.807402491569519043e-01,4.163995683193206787e-01,9.627494215965270996e-02,8.926882147789001465e-01,1.713454627990722656e+01,1.774545478820800781e+01,4.463441073894500732e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,2.153927087783813477e+00,1.359096884727478027e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.463441073894500732e-01,9.570314025878906250e+01
9.970751404762268066e-01,9.970751404762268066e-01,4.936429560184478760e-01,1.116906329989433289e-01,9.504854679107666016e-01,1.743636322021484375e+01,1.854545402526855469e+01,6.984148025512695312e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,2.205140590667724609e+00,1.070600271224975586e+00,1.818181830458343029e-03,0.000000000000000000e+00,6.984148025512695312e-01,2.448845672607421875e+02
9.970751404762268066e-01,9.871928691864013672e-01,3.940164446830749512e-01,9.460906684398651123e-02,9.203066229820251465e-01,1.711818122863769531e+01,1.861818122863769531e+01,8.093606829643249512e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,2.110262632369995117e+00,8.920099139213562012e-01,1.272727269679307938e-02,0.000000000000000000e+00,8.093606829643249512e-01,3.968439636230468750e+02
9.970751404762268066e-01,9.772865772247314453e-01,8.085156679153442383e-01,1.095557585358619690e-01,9.618841409683227539e-01,1.787636375427246094e+01,1.872727203369140625e+01,8.856224417686462402e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,2.028299093246459961e+00,7.128543853759765625e-01,1.454545464366674423e-02,0.000000000000000000e+00,8.856224417686462402e-01,5.559043579101562500e+02
9.970751404762268066e-01,8.825895786285400391e-01,3.270559012889862061e-01,8.331158012151718140e-02,8.156017661094665527e-01,1.833272743225097656e+01,1.836363601684570312e+01,8.506121039390563965e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.944437980651855469e+00,1.028187513351440430e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.506121039390563965e-01,6.855313110351562500e+02
9.970751404762268066e-01,9.902977347373962402e-01,5.325855612754821777e-01,1.029248461127281189e-01,9.618688821792602539e-01,1.872545433044433594e+01,1.854545402526855469e+01,9.062405228614807129e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.875825405120849609e+00,9.493535757064819336e-01,5.454545374959707260e-03,0.000000000000000000e+00,9.062405228614807129e-01,8.205429077148437500e+02
9.979444742202758789e-01,9.979444742202758789e-01,0.000000000000000000e+00,9.349273890256881714e-02,9.349273890256881714e-02,1.792545509338378906e+01,1.792545509338378906e+01,4.998666048049926758e-01,5.500000000000000000e+02,5.500000000000000000e+02,5.500000000000000000e+02,5.500000000000000000e+02,1.903433322906494141e+00,1.903433322906494141e+00,3.636363660916686058e-03,3.636363660916686058e-03,4.998666048049926758e-01,9.825409545898437500e+02
9.979444742202758789e-01,9.892233610153198242e-01,9.224792122840881348e-01,1.381325721740722656e-01,9.800655841827392578e-01,1.797999954223632812e+01,1.834545516967773438e+01,7.399660944938659668e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.938200950622558594e+00,8.268507719039916992e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.399660944938659668e-01,1.154735961914062500e+03
9.979444742202758789e-01,9.957694411277770996e-01,9.423625469207763672e-01,1.266530752182006836e-01,9.796497225761413574e-01,1.802363586425781250e+01,1.856363677978515625e+01,8.598079085350036621e-01,5.490000000000000000e+02,5.500000000000000000e+01,5.490000000000000000e+02,5.500000000000000000e+01,1.799694895744323730e+00,8.815311193466186523e-01,1.818181830458343029e-03,0.000000000000000000e+00,8.598079085350036621e-01,1.271090209960937500e+03
9.979444742202758789e-01,9.929307699203491211e-01,9.742265343666076660e-01,1.722567081451416016e-01,9.826455712318420410e-01,1.848181724548339844e+01,1.852727317810058594e+01,9.212267398834228516e-01,5.490000000000000000e+02,5.500000000000000000e+01,5.470000000000000000e+02,5.500000000000000000e+01,1.804027438163757324e+00,1.059253931045532227e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.212267398834228516e-01,1.386609985351562500e+03
