r_best,r_max,r_top,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time
2.299776226282119751e-01,2.299776226282119751e-01,6.288202852010726929e-02,2.053821645677089691e-02,1.990107148885726929e-01,1.758181762695312500e+01,1.885454559326171875e+01,9.950535744428634644e-02,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,2.118752717971801758e+00,1.103801250457763672e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.950535744428634644e-02,8.827559661865234375e+01
8.795694112777709961e-01,8.795694112777709961e-01,1.030010357499122620e-01,7.825643569231033325e-02,7.737324237823486328e-01,1.942727279663085938e+01,1.914545440673828125e+01,4.366188943386077881e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.966588139533996582e+00,1.125730991363525391e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.366188943386077881e-01,2.484914703369140625e+02
8.795694112777709961e-01,2.441510111093521118e-01,9.490549564361572266e-02,2.185717783868312836e-02,2.062435001134872437e-01,1.855454635620117188e+01,1.860000038146972656e+01,3.214311897754669189e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.909443020820617676e+00,1.235871076583862305e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.214311897754669189e-01,3.347307434082031250e+02
8.795694112777709961e-01,5.069745779037475586e-01,1.204490661621093750e-02,3.618789091706275940e-02,3.603895604610443115e-01,1.923636436462402344e+01,1.969090843200683594e+01,3.409103751182556152e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.929170250892639160e+00,9.639643430709838867e-01,3.818181902170181274e-02,0.000000000000000000e+00,3.409103751182556152e-01,4.531916198730468750e+02
8.795694112777709961e-01,3.974611163139343262e-01,4.274262860417366028e-02,2.249442785978317261e-02,2.204418033361434937e-01,1.927818107604980469e+01,1.943636322021484375e+01,2.806760966777801514e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.941690683364868164e+00,9.253706932067871094e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.806760966777801514e-01,5.543947143554687500e+02
8.795694112777709961e-01,6.905233263969421387e-01,6.030867993831634521e-02,6.262598931789398193e-02,6.167180538177490234e-01,1.954363632202148438e+01,1.920000076293945312e+01,4.486970603466033936e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.827315688133239746e+00,9.178294539451599121e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.486970603466033936e-01,6.658370361328125000e+02
8.795694112777709961e-01,6.559947133064270020e-01,3.136008232831954956e-02,5.813528224825859070e-02,5.776420235633850098e-01,1.961272811889648438e+01,1.929090881347656250e+01,5.131695270538330078e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.610670685768127441e+00,7.629064321517944336e-01,3.636363660916686058e-03,0.000000000000000000e+00,5.131695270538330078e-01,8.125031127929687500e+02
8.795694112777709961e-01,6.877515316009521484e-01,3.764151781797409058e-02,5.068251118063926697e-02,5.030446052551269531e-01,1.921272659301757812e+01,1.943636322021484375e+01,5.081070661544799805e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.803817749023437500e+00,1.081513047218322754e+00,1.454545464366674423e-02,0.000000000000000000e+00,5.081070661544799805e-01,9.394218750000000000e+02
8.795694112777709961e-01,8.403721451759338379e-01,1.500836014747619629e-01,7.061792165040969849e-02,6.829102039337158203e-01,1.955999946594238281e+01,1.963636398315429688e+01,5.955086350440979004e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.663051009178161621e+00,6.000000238418579102e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.955086350440979004e-01,1.134710083007812500e+03
8.795694112777709961e-01,6.159078478813171387e-01,0.000000000000000000e+00,4.592912271618843079e-02,4.592912271618843079e-02,1.855272674560546875e+01,1.855272674560546875e+01,3.207188844680786133e-01,5.500000000000000000e+02,5.500000000000000000e+02,5.500000000000000000e+02,5.500000000000000000e+02,1.766255736351013184e+00,1.766255736351013184e+00,1.327272653579711914e-01,1.327272653579711914e-01,3.207188844680786133e-01,1.318223266601562500e+03
8.795694112777709961e-01,7.531633973121643066e-01,2.536644227802753448e-02,5.502551048994064331e-02,5.482753515243530273e-01,1.926363563537597656e+01,1.956363677978515625e+01,4.344971179962158203e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.952584505081176758e+00,1.161180734634399414e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.344971179962158203e-01,1.462690673828125000e+03
8.795694112777709961e-01,1.463238298892974854e-01,7.180517911911010742e-02,1.310616731643676758e-02,1.218466386198997498e-01,1.965636444091796875e+01,1.910909080505371094e+01,2.781718671321868896e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.563671469688415527e+00,8.006834387779235840e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.781718671321868896e-01,1.525467529296875000e+03
8.795694112777709961e-01,7.035620808601379395e-01,1.146956309676170349e-01,6.237599998712539673e-02,6.111064553260803223e-01,1.846545410156250000e+01,1.850909042358398438e+01,4.446391761302947998e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,2.073381900787353516e+00,1.288932681083679199e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.446391761302947998e-01,1.704728515625000000e+03
9.593312144279479980e-01,9.593312144279479980e-01,1.669715391471982002e-03,7.986743748188018799e-02,7.986419200897216797e-01,1.824363708496093750e+01,1.958181762695312500e+01,6.216405630111694336e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,2.204280376434326172e+00,9.828494191169738770e-01,1.999999955296516418e-02,0.000000000000000000e+00,6.216405630111694336e-01,1.823511596679687500e+03
9.593312144279479980e-01,5.816328525543212891e-01,2.495706453919410706e-02,5.010936409235000610e-02,5.004616975784301758e-01,1.847272682189941406e+01,1.878181838989257812e+01,5.610511302947998047e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,2.191613912582397461e+00,1.088355183601379395e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.610511302947998047e-01,1.943481323242187500e+03
9.593312144279479980e-01,5.484625101089477539e-01,7.075680047273635864e-02,4.249016568064689636e-02,4.174412786960601807e-01,1.877090835571289062e+01,1.909090995788574219e+01,4.892461895942687988e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,2.047137022018432617e+00,1.073256254196166992e+00,1.818181830458343029e-03,0.000000000000000000e+00,4.892461895942687988e-01,2.086958251953125000e+03
9.593312144279479980e-01,4.853636324405670166e-01,1.199350580573081970e-01,4.391802102327346802e-02,4.286085367202758789e-01,1.904181861877441406e+01,1.949090957641601562e+01,4.589273631572723389e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.917039155960083008e+00,6.696123480796813965e-01,1.818181830458343029e-03,0.000000000000000000e+00,4.589273631572723389e-01,2.219656494140625000e+03
9.593312144279479980e-01,7.020914554595947266e-01,3.108743205666542053e-02,5.982143804430961609e-02,5.957075357437133789e-01,1.883818244934082031e+01,1.914545440673828125e+01,5.273174643516540527e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.977560043334960938e+00,1.111991882324218750e+00,5.454545374959707260e-03,0.000000000000000000e+00,5.273174643516540527e-01,2.343800292968750000e+03
9.593312144279479980e-01,6.962684988975524902e-01,1.292964518070220947e-01,5.759488791227340698e-02,5.648347139358520508e-01,1.700000000000000000e+01,1.920000076293945312e+01,5.460760593414306641e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,2.139192819595336914e+00,1.198993325233459473e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.460760593414306641e-01,2.503713134765625000e+03
9.593312144279479980e-01,6.869211196899414062e-01,2.050156295299530029e-01,5.693902820348739624e-02,5.494658946990966797e-01,1.840909004211425781e+01,1.909090995788574219e+01,5.477709770202636719e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,2.014488935470581055e+00,8.000000119209289551e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.477709770202636719e-01,2.667436035156250000e+03
