complexity,r,count_on_policy,count_off_policy,expression,traversal,nmse_test,nmse_test_noiseless,success
10,0.9948039588225244,0,1,[x3**2 + (x1*x2**2 + x4)**2],"add,n2,x3,n2,add,x4,mul,x1,n2,x2",0.14654788260115062,0.14654788260115062,False
12,0.9961402934094195,0,1,[x3**2 + x4**2 + (x1 - x2 - x4)**2],"add,add,n2,x4,n2,x3,n2,sub,x1,add,x4,x2",0.0,0.0,True
14,0.9961452850665334,0,1,[x3**2 + x4**2 + (-x2 - x4 + sin(x1))**2],"add,add,n2,x4,n2,x3,n2,sub,sin,x1,add,x4,x2",0.0,0.0,True
15,0.9963387065624046,0,1,[2*x3**2 + x4**2 + (x1 - x2 - x4)**2],"add,add,add,n2,x4,n2,x3,n2,x3,n2,sub,x1,add,x4,x2",0.0,0.0,True
