r_best,r_max,r_top,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time
9.835980534553527832e-01,9.835980534553527832e-01,7.563486099243164062e-01,1.542107611894607544e-01,9.653702378273010254e-01,1.373999977111816406e+01,1.325454521179199219e+01,4.826851189136505127e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.997908473014831543e+00,1.014132976531982422e+00,1.090909074991941452e-02,0.000000000000000000e+00,4.826851189136505127e-01,1.460247344970703125e+02
9.835980534553527832e-01,9.727839231491088867e-01,8.177875280380249023e-01,1.839276999235153198e-01,9.415427446365356445e-01,1.360181808471679688e+01,1.396363639831542969e+01,7.121139168739318848e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.887606859207153320e+00,1.326484322547912598e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.121139168739318848e-01,2.994496154785156250e+02
9.850062727928161621e-01,9.850062727928161621e-01,8.436439037322998047e-01,1.595412492752075195e-01,9.653667211532592773e-01,1.423454570770263672e+01,1.334545421600341797e+01,8.387402892112731934e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.689560413360595703e+00,1.266354799270629883e+00,1.272727269679307938e-02,0.000000000000000000e+00,8.387402892112731934e-01,4.538748474121093750e+02
9.931962490081787109e-01,9.931962490081787109e-01,7.281185388565063477e-01,1.086082980036735535e-01,9.658123254776000977e-01,1.316727256774902344e+01,1.416363620758056641e+01,9.022763371467590332e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.733080625534057617e+00,1.286400914192199707e+00,5.454545468091964722e-02,0.000000000000000000e+00,9.022763371467590332e-01,9.240043334960937500e+02
