complexity,r,count_on_policy,count_off_policy,expression,traversal,nmse_test,nmse_test_noiseless,success
4,0.0,0,1,[-x1 + x3**2],"sub,n2,x3,x1",10.133332268557867,10.133332268557867,False
5,0.23891647125325288,0,1,[x1*(x2 - x3)],"mul,sub,x2,x3,x1",2.695020325550477,2.695020325550477,False
6,0.8063681237661892,0,1,[(x1*x3 - x2)**2],"n2,sub,mul,x3,x1,x2",0.19770771402231616,0.19770771402231616,False
7,0.9296572161575227,0,1,[(x1*x2 + x3**2)**2],"n2,add,mul,x2,x1,n2,x3",0.014247599201480022,0.014247599201480022,False
8,0.9916409331118435,0,1,[x1**2 - cos(x2 - x3)],"sub,n2,x1,cos,sub,x3,x2",0.0014428893197816757,0.0014428893197816757,False
9,0.9940874662378089,0,1,[x1**2 - cos(x2 + x3**2)],"sub,n2,x1,cos,add,n2,x3,x2",0.0003275101122718593,0.0003275101122718593,False
10,0.9959997184784251,0,1,[x1**2 - cos(x2**2 + x3**2)],"sub,n2,x1,cos,add,n2,x3,n2,x2",0.0,0.0,True
12,0.9960971080595402,0,1,[x1**2 - cos(-x1 + x2**2 + x3**2)],"sub,n2,x1,cos,sub,x1,add,n2,x3,n2,x2",5.572338825536978e-08,5.572338825536978e-08,False
13,0.9971794272512037,0,1,[x1**2 - cos(2*x2**2 + x3**2)],"sub,n2,x1,cos,add,add,n2,x3,n2,x2,n2,x2",0.0,0.0,True
