complexity,r,count_on_policy,count_off_policy,expression,traversal,nmse_test,nmse_test_noiseless,success
4,0.7557158859406062,0,1,[x1**2*x2**2],"n2,mul,x1,x2",0.17693041315853256,0.17693041315853256,False
5,0.9680283938385053,0,1,[x1**2 + x2**2],"add,n2,x2,n2,x1",0.008864872486732199,0.008864872486732199,False
6,0.9681788501826548,0,1,[(-2*x1 + x2)**2],"n2,sub,sub,x2,x1,x1",0.0002408652027250593,0.0002408652027250593,False
7,0.9869641526742453,0,1,[4*x1**2 + x2**2],"add,n2,x2,n2,add,x1,x1",0.0,0.0,True
9,0.9907617181626311,0,1,[9*x1**2 + x2**2],"add,n2,add,x1,add,x1,x1,n2,x2",0.0,0.0,True
11,0.9931795737757266,0,1,[9*x1**2 + 4*x2**2],"add,n2,add,x2,x2,n2,add,add,x1,x1,x1",0.0,0.0,True
