complexity,r,count_on_policy,count_off_policy,expression,traversal,nmse_test,nmse_test_noiseless,success
4,0.0,0,1,[-x1**2 + x2],"sub,x2,n2,x1",10.842980237432311,10.842980237432311,False
5,0.3382478566629848,0,1,[x1*(x2 + x3)],"mul,add,x3,x2,x1",1.1188747905512235,1.1188747905512235,False
6,0.9155837683616012,0,1,[(x1 + x2 - x3)**2],"n2,sub,add,x2,x1,x3",0.04087391967970959,0.04087391967970959,False
8,0.9184746835405521,0,1,[x2**2*(x1 + x2 - x3)**2],"n2,mul,sub,add,x2,x1,x3,x2",0.010633027329160695,0.010633027329160695,False
9,0.9271179991229108,0,1,[x3**2 - cos(x1*x2)],"sub,mul,x3,x3,cos,mul,x2,x1",0.041145842887097675,0.041145842887097675,False
10,0.9964510139945396,0,1,[x2**2 + x3**2 - cos(x1)**2],"sub,n2,x3,sub,n2,cos,x1,n2,x2",0.0,0.0,True
11,0.9976862173414361,0,1,[x2**2 + x3**2 - cos(x1 + x2)],"sub,n2,x2,sub,cos,add,x2,x1,n2,x3",1.0161610467967607e-06,1.0161610467967607e-06,False
12,0.9982376732345167,0,1,[x2**2 + x3**2 - cos(x1 + x2)**2],"sub,n2,x3,sub,n2,cos,add,x2,x1,n2,x2",0.0,0.0,True
