r_best,r_max,r_top,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time
7.612451314926147461e-01,7.612451314926147461e-01,0.000000000000000000e+00,6.181841716170310974e-02,6.181841716170310974e-02,2.565818214416503906e+01,2.565818214416503906e+01,3.090920858085155487e-02,5.500000000000000000e+02,5.500000000000000000e+02,5.500000000000000000e+02,5.500000000000000000e+02,2.362518548965454102e+00,2.362518548965454102e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.090920858085155487e-02,6.968581542968750000e+02
7.612451314926147461e-01,6.487777233123779297e-01,0.000000000000000000e+00,4.703127592802047729e-02,4.703127592802047729e-02,2.761272811889648438e+01,2.761272811889648438e+01,3.897023946046829224e-02,5.500000000000000000e+02,5.500000000000000000e+02,5.500000000000000000e+02,5.500000000000000000e+02,2.293329715728759766e+00,2.293329715728759766e+00,5.454545374959707260e-03,5.454545374959707260e-03,3.897023946046829224e-02,1.622340209960937500e+03
9.808396697044372559e-01,9.808396697044372559e-01,5.376370251178741455e-02,8.681841939687728882e-02,8.681842088699340820e-01,2.638181877136230469e+01,2.585454559326171875e+01,4.535772204399108887e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,2.408644437789916992e+00,1.279627919197082520e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.535772204399108887e-01,2.306501953125000000e+03
9.808396697044372559e-01,9.002120494842529297e-01,2.518419176340103149e-02,6.824470311403274536e-02,6.819534301757812500e-01,2.693272781372070312e+01,2.507272720336914062e+01,5.677652955055236816e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,2.328247308731079102e+00,1.114909052848815918e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.677652955055236816e-01,3.134256347656250000e+03
9.808396697044372559e-01,6.851555705070495605e-01,1.060633808374404907e-01,3.809397295117378235e-02,3.800535202026367188e-01,2.744181823730468750e+01,2.681818199157714844e+01,4.739094078540802002e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,2.310963153839111328e+00,1.147386074066162109e+00,1.818181830458343029e-03,0.000000000000000000e+00,4.739094078540802002e-01,4.072764648437500000e+03
9.808396697044372559e-01,7.613697648048400879e-01,0.000000000000000000e+00,5.615273490548133850e-02,5.615273490548133850e-02,2.518000030517578125e+01,2.518000030517578125e+01,2.650310695171356201e-01,5.500000000000000000e+02,5.500000000000000000e+02,5.500000000000000000e+02,5.500000000000000000e+02,2.195229053497314453e+00,2.195229053497314453e+00,1.818181830458343029e-03,1.818181830458343029e-03,2.650310695171356201e-01,4.875202148437500000e+03
9.808396697044372559e-01,9.194848537445068359e-01,0.000000000000000000e+00,6.569200754165649414e-02,6.569200754165649414e-02,2.560000038146972656e+01,2.560000038146972656e+01,1.653615385293960571e-01,5.500000000000000000e+02,5.500000000000000000e+02,5.500000000000000000e+02,5.500000000000000000e+02,2.190613985061645508e+00,2.190613985061645508e+00,1.818181830458343029e-03,1.818181830458343029e-03,1.653615385293960571e-01,5.709085449218750000e+03
9.808396697044372559e-01,8.623592257499694824e-01,1.751317828893661499e-02,7.377870380878448486e-02,7.377870082855224609e-01,2.511090850830078125e+01,2.787272644042968750e+01,4.515742659568786621e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,2.197796106338500977e+00,1.146077036857604980e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.515742659568786621e-01,6.514652343750000000e+03
9.808396697044372559e-01,8.568546175956726074e-01,1.436462700366973877e-01,7.077908515930175781e-02,7.019977569580078125e-01,2.506181907653808594e+01,2.549090957641601562e+01,5.767860412597656250e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,2.104736566543579102e+00,6.551724076271057129e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.767860412597656250e-01,7.356352050781250000e+03
9.808396697044372559e-01,8.919627666473388672e-01,1.062253117561340332e-01,5.796092376112937927e-02,5.760938525199890137e-01,2.692363548278808594e+01,2.698181724548339844e+01,5.764399170875549316e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,2.002329587936401367e+00,1.228086948394775391e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.764399170875549316e-01,8.129592285156250000e+03
9.808396697044372559e-01,8.973734974861145020e-01,0.000000000000000000e+00,5.000954121351242065e-02,5.000954121351242065e-02,2.694363594055175781e+01,2.694363594055175781e+01,3.132247328758239746e-01,5.500000000000000000e+02,5.500000000000000000e+02,5.500000000000000000e+02,5.500000000000000000e+02,2.197090864181518555e+00,2.197090864181518555e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.132247328758239746e-01,8.828771484375000000e+03
9.808396697044372559e-01,6.531519293785095215e-01,5.946577340364456177e-02,3.398555144667625427e-02,3.362171947956085205e-01,2.668545532226562500e+01,2.630909156799316406e+01,3.247209787368774414e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,2.342905282974243164e+00,1.289444804191589355e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.247209787368774414e-01,9.842357421875000000e+03
