complexity,r,count_on_policy,count_off_policy,expression,traversal,nmse_test,nmse_test_noiseless,success
4,0.0,0,1,[-x1**2 + x3],"sub,x3,n2,x1",10.682000264843017,10.682000264843017,False
5,0.23548027395936133,0,1,[x1*x2 - x3],"sub,mul,x1,x2,x3",2.2702041970993183,2.2702041970993183,False
6,0.9419585506593816,0,1,[(x1 + x2*x3)**2],"n2,add,x1,mul,x3,x2",0.022768414235371598,0.022768414235371598,False
7,0.966488217099802,0,1,[x1**2*x3**2 + x2**2],"add,n2,x2,n2,mul,x3,x1",0.013915504450974302,0.013915504450974302,False
10,0.9804065010867786,0,1,[(x1*(x2**2 + x3**2) + x1)**2],"n2,add,x1,mul,add,n2,x3,n2,x2,x1",0.0,0.0,True
11,0.9849900521074798,0,1,[(x1*(x2**2 + x3) + 2*x1)**2],"n2,add,add,x1,mul,add,x3,n2,x2,x1,x1",0.0,0.0,True
12,0.9879630947207747,0,1,[(x1*(x2**2 + x3**2) + 2*x1)**2],"n2,add,add,x1,x1,mul,add,n2,x2,n2,x3,x1",0.0,0.0,True
13,0.989753211598809,0,1,[(x1*(x3**2 + cos(x2)) + 2*x1)**2],"n2,add,x1,add,x1,mul,add,n2,x3,cos,x2,x1",0.0,0.0,True
14,0.9908617895378328,0,1,[(x1*(cos(x2) + cos(x3)) + 2*x1)**2],"n2,add,x1,add,x1,mul,add,cos,x3,cos,x2,x1",0.0,0.0,True
