complexity,r,count_on_policy,count_off_policy,expression,traversal,nmse_test,nmse_test_noiseless,success
4,0.0,0,1,[x2 + x3**2],"add,n2,x3,x2",10.069791076277689,10.069791076277689,False
5,0.4375578678670679,0,1,[x3*(x1 + x2)],"mul,x3,add,x2,x1",0.3430680415983801,0.3430680415983801,False
6,0.9155837683616012,0,1,[(x1 + x2 - x3)**2],"n2,sub,add,x2,x1,x3",0.17690784277568392,0.17690784277568392,False
7,0.9861409500721325,0,1,[x1**2*x3**2 + x2**2],"add,n2,x2,n2,mul,x1,x3",0.08741638304903065,0.08741638304903065,False
8,0.9871349543350314,0,1,[x1**2 + x2**2 + x3**2],"add,n2,x3,add,n2,x1,n2,x2",0.001911099853648638,0.001911099853648638,False
9,0.9890625715230943,0,1,[x2**2 + x3**2*sin(x1)**2],"add,n2,x2,n2,mul,sin,x1,x3",0.0005146485394605637,0.0005146485394605637,False
10,0.9958710336724534,0,1,[x2**2 + x3**2 + (x1 + x2)**2],"add,n2,x3,add,n2,add,x1,x2,n2,x2",6.704429268620381e-05,6.704429268620381e-05,False
