r_best,r_max,r_top,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time
9.421693086624145508e-01,9.421693086624145508e-01,5.437325239181518555e-01,9.921153634786605835e-02,8.984976410865783691e-01,1.749818229675292969e+01,1.934545516967773438e+01,4.492488205432891846e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,2.160078763961791992e+00,1.072975873947143555e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.492488205432891846e-01,1.205438079833984375e+02
9.421693086624145508e-01,9.296417832374572754e-01,4.720052480697631836e-01,8.924151211977005005e-02,8.157643079757690430e-01,1.708727264404296875e+01,1.721818161010742188e+01,6.325065493583679199e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,2.194865942001342773e+00,1.309374928474426270e+00,7.272727321833372116e-03,0.000000000000000000e+00,6.325065493583679199e-01,3.888320922851562500e+02
9.421693086624145508e-01,9.193179011344909668e-01,7.465703487396240234e-01,1.141516193747520447e-01,8.939886093139648438e-01,1.910000038146972656e+01,1.916363716125488281e+01,7.632476091384887695e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,2.115748405456542969e+00,6.499999761581420898e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.632476091384887695e-01,6.476053466796875000e+02
9.457196593284606934e-01,9.457196593284606934e-01,3.374224901199340820e-01,9.046530723571777344e-02,8.900780677795410156e-01,1.732727241516113281e+01,1.910909080505371094e+01,8.266628384590148926e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,2.045428991317749023e+00,9.671771526336669922e-01,1.090909074991941452e-02,0.000000000000000000e+00,8.266628384590148926e-01,9.348307495117187500e+02
