complexity,r,count_on_policy,count_off_policy,expression,traversal,nmse_test,nmse_test_noiseless,success
6,0.5993368335873639,0,1,[x3 + (x1 + x2)**2],"add,x3,n2,add,x2,x1",0.4369523912591764,0.4369523912591764,False
7,0.8248976980467977,0,1,[x3**2 + (x1 + x2)**2],"add,n2,x3,n2,add,x2,x1",0.1799280608838138,0.1799280608838138,False
8,0.9886164422373219,0,1,[x2**2 - cos(x1 - x3)],"sub,n2,x2,cos,sub,x1,x3",0.001053713401862715,0.001053713401862715,False
10,0.9974169396891785,0,1,[x1**2 + x3**2 - cos(x2)**2],"sub,add,n2,x1,n2,x3,n2,cos,x2",0.0,0.0,True
11,0.9986357906889772,0,1,[x1**2 - (cos(x2) + cos(x3))**2],"sub,n2,x1,n2,add,cos,x3,cos,x2",0.0,0.0,True
12,0.9998274119084134,0,1,[x1**2 - (cos(x2) + cos(x3))**4],"sub,n2,x1,n2,n2,add,cos,x3,cos,x2",0.0,0.0,True
13,0.9999876261647493,0,1,[x1**2 - (cos(x2) + cos(x3))**8],"sub,n2,x1,n2,n2,n2,add,cos,x3,cos,x2",0.0,0.0,True
14,1.0,0,1,[x1 - (cos(x2) + cos(x3))**32],"sub,x1,n2,n2,n2,n2,n2,add,cos,x3,cos,x2",0.0,0.0,True
