r,count_on_policy,count_off_policy,expression,traversal,nmse_test,nmse_test_noiseless,success
1.0,0,1,[x1**2 + x2 - ((cos(x2) + cos(x3**2))**2 + cos(x3))**8],"sub,add,n2,x1,x2,n2,n2,n2,add,cos,x3,n2,add,cos,n2,x3,cos,x2",0.0,0.0,True
1.0,0,1,[x3**2 - (((cos(x2) + cos(x3))**2 + cos(x1))**2 + cos(x1))**4],"sub,n2,x3,n2,n2,add,cos,x1,n2,add,cos,x1,n2,add,cos,x3,cos,x2",0.0,0.0,True
1.0,0,1,[x1**2 + x2 - ((cos(x1)**2 + cos(x2))**2 + cos(x3))**8],"sub,add,n2,x1,x2,n2,n2,n2,add,cos,x3,n2,add,n2,cos,x1,cos,x2",0.0,0.0,True
1.0,0,1,[x1**2 - ((cos(x2) + cos(x3**2))**4 + cos(x3))**4],"sub,n2,x1,n2,n2,add,cos,x3,n2,n2,add,cos,n2,x3,cos,x2",0.0,0.0,True
1.0,0,1,[x1 - (((cos(x2) + cos(x3**2))**2 + cos(x1))**2 + cos(x3))**4],"sub,x1,n2,n2,add,cos,x3,n2,add,cos,x1,n2,add,cos,x2,cos,n2,x3",0.0,0.0,True
1.0,0,1,[-(((cos(x1) + cos(x2))**2 + cos(x1))**2 + cos(x3))**4 + cos(x1)],"sub,cos,x1,n2,n2,add,cos,x3,n2,add,cos,x1,n2,add,cos,x2,cos,x1",0.0,0.0,True
1.0,0,1,[-(((cos(x2) + cos(x3))**2 + cos(x1))**2 + cos(x2))**4 + sin(x2)],"sub,sin,x2,n2,n2,add,cos,x2,n2,add,cos,x1,n2,add,cos,x3,cos,x2",0.0,0.0,True
1.0,0,1,[-(cos(x2) + 2*cos(x3**2))**16 + cos(x1)],"sub,cos,x1,n2,n2,n2,n2,add,cos,n2,x3,add,cos,n2,x3,cos,x2",0.0,0.0,True
1.0,0,1,[x1**2 - ((2*cos(x2) + cos(x3))**2 + cos(x3))**4],"sub,n2,x1,n2,n2,add,cos,x3,n2,add,add,cos,x3,cos,x2,cos,x2",0.0,0.0,True
1.0,0,1,[-(4*cos(x2)**2 + cos(x3))**8 + cos(x1**2 + x2)],"sub,cos,add,n2,x1,x2,n2,n2,n2,add,cos,x3,n2,add,cos,x2,cos,x2",0.0,0.0,True
1.0,0,1,[x1**2 + x3 - ((cos(x1**2) + cos(x2))**2 + cos(x2))**8],"sub,add,n2,x1,x3,n2,n2,n2,add,cos,x2,n2,add,cos,n2,x1,cos,x2",6.270789482263054e-05,6.270789482263054e-05,False
1.0,0,1,[-((cos(x1) + cos(x2)**2)**2 + cos(x3))**16 + cos(x2)],"sub,cos,x2,n2,n2,n2,n2,add,cos,x3,n2,add,cos,x1,n2,cos,x2",0.0,0.0,True
1.0,0,1,[-((cos(x1) + cos(x2))**2 + cos(x3))**8 + sin(x1)],"sub,sin,x1,n2,n2,n2,add,cos,x3,n2,add,cos,x1,cos,x2",0.0,0.0,True
1.0,0,1,[x1**2 - (cos(x2) + cos(x3))**32 + cos(x3)**2],"sub,add,n2,x1,n2,cos,x3,n2,n2,n2,n2,n2,add,cos,x3,cos,x2",0.0,0.0,True
