r_best,r_max,r_top,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time
9.967938065528869629e-01,9.967938065528869629e-01,5.045326352119445801e-01,1.053854525089263916e-01,9.512563347816467285e-01,1.578363609313964844e+01,1.843636322021484375e+01,4.756281673908233643e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,2.236621856689453125e+00,8.250752091407775879e-01,1.818181830458343029e-03,0.000000000000000000e+00,4.756281673908233643e-01,4.018663940429687500e+02
9.967938065528869629e-01,9.957721829414367676e-01,8.869686722755432129e-01,1.293408274650573730e-01,9.748044013977050781e-01,1.859454536437988281e+01,1.860000038146972656e+01,7.252162694931030273e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.963240623474121094e+00,1.072705745697021484e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.252162694931030273e-01,7.652075805664062500e+02
9.967938065528869629e-01,9.840371608734130859e-01,6.954046487808227539e-01,1.082721725106239319e-01,9.497166275978088379e-01,1.820000076293945312e+01,1.841818237304687500e+01,8.374664783477783203e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.843408823013305664e+00,5.263158082962036133e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.374664783477783203e-01,9.139777221679687500e+02
9.993256926536560059e-01,9.993256926536560059e-01,9.003430008888244629e-01,1.459179371595382690e-01,9.909767508506774902e-01,1.780363655090332031e+01,1.852727317810058594e+01,9.142215847969055176e-01,5.500000000000000000e+02,5.500000000000000000e+01,5.500000000000000000e+02,5.500000000000000000e+01,1.820731282234191895e+00,1.089377880096435547e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.142215847969055176e-01,1.331615625000000000e+04
